Country,Investment area,Year,Funder,Amount,Unit,Row type,Category (as printed in MoU),Source note,MoU footnote (verbatim),MoU footnote location,Source (MoU PDF)
Kenya,Strategic assistance / investment,2027,USG,127637380.0,USD,Line item,Strategic Interventions,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Strategic assistance / investment,2028,USG,168814814.0,USD,Line item,Strategic Interventions,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Strategic assistance / investment,2029,USG,235118267.0,USD,Line item,Strategic Interventions,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Strategic assistance / investment,2030,USG,113313280.0,USD,Line item,Strategic Interventions,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Programme management,2026,USG,90282837.0,USD,Line item,Program Management,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Programme management,2027,USG,67712128.0,USD,Line item,Program Management,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Programme management,2028,USG,45141418.0,USD,Line item,Program Management,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Programme management,2029,USG,27084851.0,USD,Line item,Program Management,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Programme management,2030,USG,9028284.0,USD,Line item,Program Management,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TOTAL,2026,USG,389436360.0,USD,Total / subtotal,Subtotal itemized categories,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TOTAL,2027,USG,364996360.0,USD,Total / subtotal,Subtotal itemized categories,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TOTAL,2028,USG,320722360.0,USD,Total / subtotal,Subtotal itemized categories,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TOTAL,2029,USG,306622360.0,USD,Total / subtotal,Subtotal itemized categories,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TOTAL,2030,USG,151804360.0,USD,Total / subtotal,Subtotal itemized categories,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TOTAL,2026,USG,414294000.0,USD,Total / subtotal,Headline USG total (incl. cost of doing business & audits),"Gap vs itemized = $97,888,200 over term, per Appendix 1 footnote",*Includes U.S. Government cost of doing business and funding for audits.,"Appendix 1, p.32 — printed beneath the headline co-funding summary table",https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TOTAL,2027,USG,388294000.0,USD,Total / subtotal,Headline USG total (incl. cost of doing business & audits),"Gap vs itemized = $97,888,200 over term, per Appendix 1 footnote",*Includes U.S. Government cost of doing business and funding for audits.,"Appendix 1, p.32 — printed beneath the headline co-funding summary table",https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TOTAL,2028,USG,341194000.0,USD,Total / subtotal,Headline USG total (incl. cost of doing business & audits),"Gap vs itemized = $97,888,200 over term, per Appendix 1 footnote",*Includes U.S. Government cost of doing business and funding for audits.,"Appendix 1, p.32 — printed beneath the headline co-funding summary table",https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TOTAL,2029,USG,326194000.0,USD,Total / subtotal,Headline USG total (incl. cost of doing business & audits),"Gap vs itemized = $97,888,200 over term, per Appendix 1 footnote",*Includes U.S. Government cost of doing business and funding for audits.,"Appendix 1, p.32 — printed beneath the headline co-funding summary table",https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,TOTAL,2030,USG,161494000.0,USD,Total / subtotal,Headline USG total (incl. cost of doing business & audits),"Gap vs itemized = $97,888,200 over term, per Appendix 1 footnote",*Includes U.S. Government cost of doing business and funding for audits.,"Appendix 1, p.32 — printed beneath the headline co-funding summary table",https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2026,USG,14218608.0,USD,Appendix detail (do not sum),App.2 2026 Lab Commodities: HIV,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2026,USG,194173.0,USD,Appendix detail (do not sum),App.2 2026 Lab Commodities: TB,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2026,USG,48193.0,USD,Appendix detail (do not sum),App.2 2026 Lab Commodities: Polio,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2026,USG,500000.0,USD,Appendix detail (do not sum),App.2 2026 Lab Commodities: GHS,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Other commodities,2026,USG,57239945.0,USD,Appendix detail (do not sum),App.2 2026 Other Commodities: HIV,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Other commodities,2026,USG,172051.0,USD,Appendix detail (do not sum),App.2 2026 Other Commodities: TB,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Other commodities,2026,USG,16866693.0,USD,Appendix detail (do not sum),App.2 2026 Other Commodities: Malaria,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Other commodities,2026,USG,503541.0,USD,Appendix detail (do not sum),App.2 2026 Other Commodities: MCH,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Other commodities,2026,USG,20000000.0,USD,Appendix detail (do not sum),App.2 2026 Other Commodities: Buffer for 6MMD ART + Len PrEP (one-time),,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2026,USG,3618414.0,USD,Appendix detail (do not sum),App.3 frontline funding: Laboratory Workers,"App.3 cadre rows sum to $31,630,035/yr vs App.1 $52,197,722/yr - unexplained gap in source document",,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2027,USG,3618414.0,USD,Appendix detail (do not sum),App.3 frontline funding: Laboratory Workers,"App.3 cadre rows sum to $31,630,035/yr vs App.1 $52,197,722/yr - unexplained gap in source document",,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2028,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Laboratory Workers,"App.3 cadre rows sum to $31,630,035/yr vs App.1 $52,197,722/yr - unexplained gap in source document",,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2029,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Laboratory Workers,"App.3 cadre rows sum to $31,630,035/yr vs App.1 $52,197,722/yr - unexplained gap in source document",,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2030,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Laboratory Workers,"App.3 cadre rows sum to $31,630,035/yr vs App.1 $52,197,722/yr - unexplained gap in source document",,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2026,USG,9359968.0,USD,Appendix detail (do not sum),App.3 frontline funding: Clinical Officers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2027,USG,9359968.0,USD,Appendix detail (do not sum),App.3 frontline funding: Clinical Officers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2028,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Clinical Officers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2029,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Clinical Officers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2030,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Clinical Officers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2026,USG,2086233.0,USD,Appendix detail (do not sum),App.3 frontline funding: Pharmacy Workers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2027,USG,2086233.0,USD,Appendix detail (do not sum),App.3 frontline funding: Pharmacy Workers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2028,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Pharmacy Workers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2029,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Pharmacy Workers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2030,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Pharmacy Workers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2026,USG,7208644.0,USD,Appendix detail (do not sum),App.3 frontline funding: Nurses,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2027,USG,7208644.0,USD,Appendix detail (do not sum),App.3 frontline funding: Nurses,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2028,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Nurses,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2029,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Nurses,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2030,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Nurses,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2026,USG,8196029.0,USD,Appendix detail (do not sum),App.3 frontline funding: Testing & Counseling Providers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2027,USG,8196029.0,USD,Appendix detail (do not sum),App.3 frontline funding: Testing & Counseling Providers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2028,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Testing & Counseling Providers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2029,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Testing & Counseling Providers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2030,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Testing & Counseling Providers,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2026,USG,301349.0,USD,Appendix detail (do not sum),App.3 frontline funding: Doctors,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2027,USG,301349.0,USD,Appendix detail (do not sum),App.3 frontline funding: Doctors,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2028,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Doctors,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2029,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Doctors,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2030,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Doctors,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2026,USG,180173.0,USD,Appendix detail (do not sum),App.3 frontline funding: Epidemiologists,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2027,USG,180173.0,USD,Appendix detail (do not sum),App.3 frontline funding: Epidemiologists,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2028,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Epidemiologists,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2029,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Epidemiologists,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2030,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Epidemiologists,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2026,USG,577681.0,USD,Appendix detail (do not sum),App.3 frontline funding: Clinical Social Worker,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2027,USG,577681.0,USD,Appendix detail (do not sum),App.3 frontline funding: Clinical Social Worker,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2028,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Clinical Social Worker,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2029,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Clinical Social Worker,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2030,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Clinical Social Worker,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
