Country,Investment area,Year,Funder,Amount,Basis
Ethiopia,Laboratory commodities,2028,USG,6278299.0,Printed in MoU
Ethiopia,Laboratory commodities,2029,USG,3139149.0,Printed in MoU
Ethiopia,Laboratory commodities,2030,USG,0.0,Printed in MoU
Ethiopia,Laboratory systems,2026,Government,0.0,Printed in MoU
Ethiopia,Laboratory systems,2027,Government,618810.0,Printed in MoU
Ethiopia,Laboratory systems,2028,Government,1237620.0,Printed in MoU
Ethiopia,Laboratory systems,2029,Government,1856430.0,Printed in MoU
Ethiopia,Laboratory systems,2030,Government,2475240.0,Printed in MoU
Ethiopia,Laboratory systems,2026,USG,2475240.0,Printed in MoU
Ethiopia,Laboratory systems,2027,USG,1856430.0,Printed in MoU
Ethiopia,Laboratory systems,2028,USG,1237620.0,Printed in MoU
Ethiopia,Laboratory systems,2029,USG,618810.0,Printed in MoU
Ethiopia,Laboratory systems,2030,USG,0.0,Printed in MoU
Ethiopia,Other commodities,2026,Government,0.0,Printed in MoU
Ethiopia,Other commodities,2027,Government,7126027.0,Printed in MoU
Ethiopia,Other commodities,2028,Government,14252055.0,Printed in MoU
Ethiopia,Other commodities,2029,Government,21378082.0,Printed in MoU
Ethiopia,Other commodities,2030,Government,28504110.0,Printed in MoU
Ethiopia,Other commodities,2026,USG,28504110.0,Printed in MoU
Ethiopia,Other commodities,2027,USG,28504110.0,Printed in MoU
Ethiopia,Other commodities,2028,USG,14252055.0,Printed in MoU
Ethiopia,Other commodities,2029,USG,7126027.0,Printed in MoU
Ethiopia,Other commodities,2030,USG,0.0,Printed in MoU
Ethiopia,Strategic assistance / investment,2026,USG,117060845.0,Printed in MoU
Ethiopia,Strategic assistance / investment,2027,USG,176947735.0,Printed in MoU
Ethiopia,Strategic assistance / investment,2028,USG,192399309.0,Printed in MoU
Ethiopia,Strategic assistance / investment,2029,USG,151745056.0,Printed in MoU
Ethiopia,Strategic assistance / investment,2030,USG,119727654.0,Printed in MoU
Ethiopia,Surveillance & outbreak response,2026,USG,7512850.0,Printed in MoU
Ethiopia,Surveillance & outbreak response,2027,USG,7418368.0,Printed in MoU
Ethiopia,Surveillance & outbreak response,2028,USG,6759200.0,Printed in MoU
Ethiopia,Surveillance & outbreak response,2029,USG,6205861.0,Printed in MoU
Ethiopia,Surveillance & outbreak response,2030,USG,5055669.0,Printed in MoU
Kenya,All areas combined,2026,Government,108044445.0,Printed in MoU
Kenya,All areas combined,2027,Government,142445629.0,Printed in MoU
Kenya,All areas combined,2028,Government,199879692.0,Printed in MoU
Kenya,All areas combined,2029,Government,220072480.0,Printed in MoU
Kenya,All areas combined,2030,Government,235028926.0,Printed in MoU
Kenya,All areas combined,2026,USG,389436360.0,Printed in MoU
Kenya,All areas combined,2027,USG,364996360.0,Printed in MoU
Kenya,All areas combined,2028,USG,320722360.0,Printed in MoU
Kenya,All areas combined,2029,USG,306622360.0,Printed in MoU
Kenya,All areas combined,2030,USG,151804360.0,Printed in MoU
Kenya,Data systems,2026,USG,30000000.0,Printed in MoU
Kenya,Data systems,2027,USG,75000000.0,Printed in MoU
Kenya,Data systems,2028,USG,50000000.0,Printed in MoU
Kenya,Data systems,2029,USG,10000000.0,Printed in MoU
Kenya,Data systems,2030,USG,10000000.0,Printed in MoU
Kenya,Frontline healthcare workers,2026,Government,0.0,Printed in MoU
Kenya,Frontline healthcare workers,2027,Government,0.0,Printed in MoU
Kenya,Frontline healthcare workers,2028,Government,45735429.0,Printed in MoU
Kenya,Frontline healthcare workers,2029,Government,45735429.0,Printed in MoU
Kenya,Frontline healthcare workers,2030,Government,45735429.0,Printed in MoU
Kenya,Frontline healthcare workers,2026,USG,45735429.0,Printed in MoU
Kenya,Frontline healthcare workers,2027,USG,30490286.0,Printed in MoU
Kenya,Frontline healthcare workers,2028,USG,0.0,Printed in MoU
Kenya,Frontline healthcare workers,2029,USG,0.0,Printed in MoU
Kenya,Frontline healthcare workers,2030,USG,0.0,Printed in MoU
Kenya,Frontline lab workers,2026,Government,0.0,Printed in MoU
Kenya,Frontline lab workers,2027,Government,0.0,Printed in MoU
Kenya,Frontline lab workers,2028,Government,6462293.0,Printed in MoU
Kenya,Frontline lab workers,2029,Government,6462293.0,Printed in MoU
Kenya,Frontline lab workers,2030,Government,6462293.0,Printed in MoU
Kenya,Frontline lab workers,2026,USG,6462293.0,Printed in MoU
Kenya,Frontline lab workers,2027,USG,4308195.0,Printed in MoU
Kenya,Frontline lab workers,2028,USG,2154098.0,Printed in MoU
Kenya,Frontline lab workers,2029,USG,0.0,Printed in MoU
Kenya,Frontline lab workers,2030,USG,0.0,Printed in MoU
Kenya,Laboratory commodities,2026,Government,2116279.0,Printed in MoU
Kenya,Laboratory commodities,2027,Government,6604571.0,Printed in MoU
Kenya,Laboratory commodities,2028,Government,11840912.0,Printed in MoU
Kenya,Laboratory commodities,2029,Government,17077253.0,Printed in MoU
Kenya,Laboratory commodities,2030,Government,17077253.0,Printed in MoU
Kenya,Laboratory commodities,2026,USG,14960974.0,Printed in MoU
Kenya,Laboratory commodities,2027,USG,10472682.0,Printed in MoU
Kenya,Laboratory commodities,2028,USG,5236341.0,Printed in MoU
Kenya,Laboratory commodities,2029,USG,0.0,Printed in MoU
Kenya,Laboratory commodities,2030,USG,0.0,Printed in MoU
Kenya,Other commodities,2026,Government,105928166.0,Printed in MoU
Kenya,Other commodities,2027,Government,135841058.0,Printed in MoU
Kenya,Other commodities,2028,Government,135841058.0,Printed in MoU
Kenya,Other commodities,2029,Government,150797505.0,Printed in MoU
Kenya,Other commodities,2030,Government,165753951.0,Printed in MoU
Kenya,Other commodities,2026,USG,94782231.0,Printed in MoU
Kenya,Other commodities,2027,USG,44869339.0,Printed in MoU
Kenya,Other commodities,2028,USG,44869339.0,Printed in MoU
Kenya,Other commodities,2029,USG,29912892.0,Printed in MoU
Kenya,Other commodities,2030,USG,14956446.0,Printed in MoU
Kenya,Programme management,2026,USG,90282837.0,Printed in MoU
Kenya,Programme management,2027,USG,67712128.0,Printed in MoU
Kenya,Programme management,2028,USG,45141418.0,Printed in MoU
Kenya,Programme management,2029,USG,27084851.0,Printed in MoU
Kenya,Programme management,2030,USG,9028284.0,Printed in MoU
Kenya,Strategic assistance / investment,2026,USG,102706246.0,Printed in MoU
Kenya,Strategic assistance / investment,2027,USG,127637380.0,Printed in MoU
Kenya,Strategic assistance / investment,2028,USG,168814814.0,Printed in MoU
Kenya,Strategic assistance / investment,2029,USG,235118267.0,Printed in MoU
Kenya,Strategic assistance / investment,2030,USG,113313280.0,Printed in MoU
Kenya,Surveillance & outbreak response,2026,USG,4506350.0,Printed in MoU
Kenya,Surveillance & outbreak response,2027,USG,4506350.0,Printed in MoU
Kenya,Surveillance & outbreak response,2028,USG,4506350.0,Printed in MoU
Kenya,Surveillance & outbreak response,2029,USG,4506350.0,Printed in MoU
Kenya,Surveillance & outbreak response,2030,USG,4506350.0,Printed in MoU
Liberia,All areas combined,2026,Government,9111584.0,Printed in MoU
Liberia,All areas combined,2027,Government,14808304.0,Printed in MoU
Liberia,All areas combined,2028,Government,17265560.0,Printed in MoU
Liberia,All areas combined,2029,Government,21694800.0,Printed in MoU
Liberia,All areas combined,2030,Government,28645040.0,Printed in MoU
Liberia,All areas combined,2026,USG,36699480.0,Printed in MoU
Liberia,All areas combined,2027,USG,33785480.0,Printed in MoU
Liberia,All areas combined,2028,USG,30589480.0,Printed in MoU
Liberia,All areas combined,2029,USG,12635480.0,Printed in MoU
Liberia,All areas combined,2030,USG,10708480.0,Printed in MoU
